"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"14 Västra Götalands län,""5-14 år"",""kvinnor"",88058,93679,79013,96498,81193,98948"
"14 Västra Götalands län,""15-24 år"",""män"",104914,96153,102291,88458,109097,101329"
"14 Västra Götalands län,""15-24 år"",""kvinnor"",100150,92924,98191,84345,103643,92051"
"14 Västra Götalands län,""25-34 år"",""män"",93510,109127,103908,108697,103135,131005"
"14 Västra Götalands län,""25-34 år"",""kvinnor"",85832,103406,98305,104118,98352,123537"
"14 Västra Götalands län,""35-44 år"",""män"",79059,89246,106225,103341,111034,110437"
"14 Västra Götalands län,""35-44 år"",""kvinnor"",77248,83305,101669,98953,106818,104890"
"14 Västra Götalands län,""45-54 år"",""män"",88831,75645,85874,103714,102887,113105"
"14 Västra Götalands län,""45-54 år"",""kvinnor"",88410,75544,82159,101044,100183,109823"
"14 Västra Götalands län,""55-64 år"",""män"",81240,80814,69292,80573,99107,100108"
"14 Västra Götalands län,""55-64 år"",""kvinnor"",83825,83918,72215,79538,98466,98720"
"14 Västra Götalands län,""65-74 år"",""män"",54526,64343,65208,58100,70635,88346"
"14 Västra Götalands län,""65-74 år"",""kvinnor"",63068,74065,75338,66222,73500,91198"
"14 Västra Götalands län,""75-84 år"",""män"",23805,29823,37084,40811,39594,52553"
"14 Västra Götalands län,""75-84 år"",""kvinnor"",31965,43189,54157,57572,52271,60223"
"14 Västra Götalands län,""85-94 år"",""män"",4050,5617,7613,10321,13357,14690"
"14 Västra Götalands län,""85-94 år"",""kvinnor"",6385,10432,16409,22320,25558,25293"
"14 Västra Götalands län,""95+ år"",""män"",111,190,273,392,619,901"
"14 Västra Götalands län,""95+ år"",""kvinnor"",232,498,886,1508,2150,2823"
"17 Värmlands län,""0-4 år"",""män"",9724,7963,8769,6745,7050,7827"
"17 Värmlands län,""0-4 år"",""kvinnor"",9253,7340,8232,6799,6563,7284"
